[May 31 09:36:39] 
[May 31 09:36:39] ==DUPLICATOR INSTALLER BOOTSTRAP v1.4.5==
[May 31 09:36:39] ----------------------------------------------------
[May 31 09:36:39] Installer bootstrap start
[May 31 09:36:39] Ready to extract the installer
[May 31 09:36:39] Checking permission of destination folder
[May 31 09:36:39] ZipArchive exists so using that
[May 31 09:36:39] Successfully opened archive file.
[May 31 09:36:39] Extracting all files from archive within dup-installer
[May 31 09:36:39] Success: dup-installer/dup-database__[HASH].sql >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/dup-scan__[HASH].json >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/index.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/views/view.s2.dbtest.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/views/view.help.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/views/index.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/views/view.s1.base.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/views/view.init1.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/views/view.s2.basic.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/views/view.s3.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/views/view.s2.cpnl.lite.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/views/view.s1.terms.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/views/view.s4.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/views/view.security.error.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/views/view.s2.base.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/views/view.exception.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/main.installer.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/utilities/class.u.html.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/utilities/index.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/utilities/class.u.notices.manager.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/utilities/class.u.exceptions.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/utilities/class.u.search.reaplce.manager.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/utilities/class.u.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/class.password.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/index.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/Crypt/index.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/Crypt/Random.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/Crypt/Base.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/Crypt/Rijndael.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/class.s3.func.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/class.engine.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/class.logging.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/class.view.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/class.csrf.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/class.crypt.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/class.installer.state.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/class.db.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/class.http.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/class.server.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/config/class.archive.config.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/config/class.security.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/config/index.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/config/class.boot.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/config/class.constants.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/config/class.conf.srv.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/host/class.liquidweb.host.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/host/class.wordpresscom.host.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/host/class.pantheon.host.php >>> /var/www/html/wordpress_projects/pcv-final
